customer_id,contract_type,segment,base_arpu,tenure_months
1,Monthly,SMB,1526.09,54
2,Annual,SMB,1796.63,35
3,Half-Yearly,Enterprise,3550.94,52
4,Quarterly,SMB,1757.69,33
5,Monthly,Enterprise,4918.14,21
6,Monthly,SMB,2887.07,20
7,Monthly,MidMarket,3098.02,8
8,Half-Yearly,MidMarket,2629.98,51
9,Quarterly,SMB,4220.81,26
10,Half-Yearly,SMB,4240.44,33
11,Monthly,SMB,3466.06,26
12,Annual,MidMarket,3843.56,37
13,Half-Yearly,MidMarket,2709.61,30
14,Monthly,MidMarket,3804.7,31
15,Monthly,SMB,2560.49,33
16,Monthly,SMB,2983.95,11
17,Monthly,SMB,2634.4,53
18,Quarterly,SMB,2426.61,41
19,Monthly,MidMarket,2186.16,5
20,Monthly,Enterprise,3679.24,2
21,Quarterly,MidMarket,5376.39,13
22,Monthly,SMB,5049.25,18
23,Monthly,Enterprise,1693.49,26
24,Monthly,MidMarket,5324.86,25
25,Quarterly,Enterprise,2583.31,44
26,Half-Yearly,MidMarket,3906.24,14
27,Monthly,SMB,1982.68,5
28,Quarterly,SMB,3177.63,59
29,Quarterly,MidMarket,3432.95,56
30,Monthly,SMB,1528.33,42
31,Quarterly,SMB,3919.5,52
32,Monthly,MidMarket,5462.55,2
33,Monthly,MidMarket,2755.65,4
34,Annual,MidMarket,5497.65,12
35,Annual,SMB,2737.06,11
36,Half-Yearly,SMB,4369.1,4
37,Monthly,MidMarket,1098.44,43
38,Monthly,Enterprise,8852.45,9
39,Quarterly,MidMarket,5842.75,10
40,Monthly,Enterprise,2622.59,27
41,Monthly,MidMarket,1227.29,6
42,Quarterly,MidMarket,3393.49,15
43,Monthly,SMB,1556.56,42
44,Annual,MidMarket,3641.62,31
45,Monthly,MidMarket,3587.48,22
46,Quarterly,MidMarket,1951.53,53
47,Monthly,SMB,4936.62,6
48,Quarterly,MidMarket,4283.43,33
49,Quarterly,SMB,4624.49,29
50,Monthly,MidMarket,2992.86,21
51,Annual,SMB,1576.58,54
52,Half-Yearly,MidMarket,4628.75,56
53,Annual,SMB,2639.47,52
54,Half-Yearly,SMB,1594.95,30
55,Quarterly,SMB,5477.57,21
56,Annual,MidMarket,7667.4,36
57,Monthly,SMB,2926.14,55
58,Monthly,SMB,7876.23,58
59,Monthly,MidMarket,3106.0,22
60,Monthly,SMB,2511.9,46
61,Monthly,Enterprise,2244.62,20
62,Monthly,Enterprise,6227.23,22
63,Half-Yearly,MidMarket,2098.41,52
64,Monthly,SMB,4150.03,40
65,Monthly,MidMarket,2317.81,11
66,Quarterly,SMB,2423.24,47
67,Monthly,SMB,4739.15,31
68,Half-Yearly,SMB,2512.37,51
69,Monthly,Enterprise,2484.54,40
70,Annual,SMB,4962.98,13
71,Half-Yearly,MidMarket,6117.01,18
72,Monthly,MidMarket,3984.27,22
73,Monthly,SMB,2220.2,56
74,Half-Yearly,SMB,2369.01,17
75,Half-Yearly,Enterprise,3090.11,38
76,Half-Yearly,MidMarket,3444.1,25
77,Half-Yearly,MidMarket,1911.15,32
78,Monthly,SMB,4127.25,15
79,Monthly,SMB,3097.9,13
80,Monthly,SMB,1377.37,58
81,Half-Yearly,SMB,1962.52,26
82,Quarterly,SMB,2375.92,50
83,Monthly,MidMarket,2884.81,11
84,Monthly,SMB,6975.61,13
85,Monthly,SMB,3318.2,33
86,Monthly,MidMarket,2041.93,50
87,Half-Yearly,MidMarket,3292.11,37
88,Quarterly,SMB,2544.17,38
89,Half-Yearly,MidMarket,3450.04,1
90,Quarterly,SMB,3870.95,39
91,Monthly,SMB,5136.64,27
92,Half-Yearly,SMB,2948.56,36
93,Half-Yearly,MidMarket,6232.5,32
94,Quarterly,SMB,4485.52,41
95,Half-Yearly,SMB,2168.2,15
96,Quarterly,SMB,8058.12,31
97,Quarterly,MidMarket,3453.51,6
98,Monthly,SMB,2047.13,25
99,Monthly,SMB,6271.75,49
100,Monthly,SMB,7593.14,52
101,Monthly,SMB,2936.98,18
102,Quarterly,MidMarket,2376.44,22
103,Monthly,MidMarket,2758.47,31
104,Quarterly,SMB,4111.85,36
105,Annual,SMB,5297.74,9
106,Monthly,SMB,3853.43,46
107,Monthly,SMB,3120.58,3
108,Half-Yearly,SMB,5849.46,33
109,Monthly,MidMarket,2589.51,27
110,Monthly,Enterprise,4740.57,43
111,Monthly,Enterprise,2618.54,1
112,Monthly,Enterprise,3619.03,44
113,Annual,MidMarket,2832.45,57
114,Half-Yearly,MidMarket,2906.97,9
115,Quarterly,SMB,2515.37,5
116,Half-Yearly,MidMarket,5459.89,15
117,Half-Yearly,SMB,2143.47,50
118,Monthly,SMB,2136.44,9
119,Half-Yearly,MidMarket,7742.25,45
120,Quarterly,SMB,4628.7,28
121,Half-Yearly,SMB,1019.12,13
122,Half-Yearly,Enterprise,2311.46,24
123,Monthly,SMB,1318.97,45
124,Monthly,SMB,1943.39,59
125,Monthly,Enterprise,726.09,10
126,Monthly,MidMarket,2802.75,42
127,Half-Yearly,MidMarket,1783.13,22
128,Half-Yearly,SMB,3062.41,39
129,Monthly,SMB,1434.68,22
130,Quarterly,Enterprise,3094.28,37
131,Monthly,MidMarket,2473.25,52
132,Monthly,MidMarket,5859.85,39
133,Monthly,SMB,5625.76,20
134,Monthly,SMB,4244.61,10
135,Annual,Enterprise,2573.5,10
136,Monthly,SMB,7283.9,26
137,Quarterly,MidMarket,1481.98,25
138,Half-Yearly,SMB,1585.09,53
139,Monthly,MidMarket,2870.66,56
140,Annual,Enterprise,8219.93,28
141,Annual,MidMarket,2721.52,13
142,Monthly,SMB,2745.01,15
143,Quarterly,MidMarket,1557.97,6
144,Monthly,MidMarket,4562.69,52
145,Monthly,SMB,4577.6,12
146,Monthly,Enterprise,4251.74,19
147,Quarterly,MidMarket,2245.88,32
148,Quarterly,Enterprise,2168.91,11
149,Monthly,MidMarket,1665.86,38
150,Monthly,SMB,3095.62,33
151,Annual,SMB,1833.2,2
152,Monthly,SMB,1754.89,55
153,Monthly,Enterprise,2463.5,15
154,Quarterly,MidMarket,2391.99,36
155,Annual,MidMarket,2340.01,5
156,Monthly,SMB,3677.17,15
157,Quarterly,SMB,3088.9,43
158,Half-Yearly,MidMarket,2618.43,10
159,Monthly,SMB,3236.85,17
160,Half-Yearly,SMB,1908.0,34
161,Monthly,MidMarket,3125.58,52
162,Quarterly,SMB,3189.98,24
163,Quarterly,SMB,1515.69,10
164,Quarterly,SMB,4666.02,52
165,Monthly,SMB,2004.91,30
166,Half-Yearly,Enterprise,3104.6,3
167,Monthly,SMB,5034.08,51
168,Monthly,SMB,4521.3,37
169,Monthly,SMB,3027.37,3
170,Quarterly,MidMarket,2532.28,40
171,Quarterly,SMB,4565.94,5
172,Monthly,MidMarket,4038.44,28
173,Quarterly,SMB,2256.87,44
174,Monthly,SMB,2084.53,14
175,Quarterly,SMB,1173.14,39
176,Monthly,MidMarket,3194.91,11
177,Quarterly,Enterprise,2872.06,8
178,Monthly,SMB,4970.55,37
179,Annual,MidMarket,3503.7,8
180,Monthly,Enterprise,5433.85,12
181,Monthly,SMB,2178.05,15
182,Monthly,MidMarket,4974.94,19
183,Annual,SMB,2349.57,48
184,Half-Yearly,Enterprise,4229.83,46
185,Monthly,MidMarket,1546.2,28
186,Quarterly,Enterprise,3313.67,7
187,Half-Yearly,MidMarket,1220.35,40
188,Quarterly,SMB,2643.31,7
189,Quarterly,Enterprise,3634.25,30
190,Monthly,SMB,2357.99,18
191,Monthly,SMB,1858.09,24
192,Half-Yearly,MidMarket,4362.29,6
193,Annual,MidMarket,2845.35,58
194,Quarterly,Enterprise,2391.54,51
195,Monthly,SMB,3037.69,4
196,Monthly,MidMarket,9764.43,55
197,Half-Yearly,MidMarket,5009.42,3
198,Half-Yearly,SMB,5029.91,49
199,Half-Yearly,SMB,3626.4,54
200,Half-Yearly,SMB,3212.87,51
201,Quarterly,SMB,1014.11,59
202,Monthly,Enterprise,2196.15,47
203,Monthly,MidMarket,2401.24,58
204,Half-Yearly,MidMarket,1282.16,6
205,Quarterly,Enterprise,1770.76,26
206,Monthly,SMB,1222.46,44
207,Monthly,MidMarket,2929.99,51
208,Quarterly,SMB,4308.93,38
209,Monthly,Enterprise,4905.19,11
210,Monthly,SMB,3592.68,52
211,Quarterly,Enterprise,1932.31,29
212,Quarterly,SMB,1249.59,20
213,Quarterly,SMB,1352.09,10
214,Monthly,MidMarket,1684.05,26
215,Half-Yearly,SMB,1998.22,48
216,Monthly,MidMarket,2774.19,27
217,Monthly,SMB,1888.67,50
218,Half-Yearly,MidMarket,3472.18,14
219,Quarterly,SMB,2685.11,36
220,Half-Yearly,SMB,2995.14,59
221,Quarterly,SMB,4979.64,12
222,Quarterly,SMB,1752.67,52
223,Monthly,SMB,3599.02,59
224,Monthly,SMB,2962.27,23
225,Monthly,SMB,2565.56,21
226,Monthly,SMB,4439.8,8
227,Annual,MidMarket,4427.35,39
228,Monthly,Enterprise,1947.07,58
229,Half-Yearly,SMB,2746.35,9
230,Quarterly,MidMarket,3383.09,24
231,Half-Yearly,MidMarket,2636.34,31
232,Quarterly,SMB,3878.72,25
233,Quarterly,MidMarket,3383.06,17
234,Quarterly,SMB,6799.83,42
235,Monthly,MidMarket,1497.23,29
236,Half-Yearly,SMB,2821.16,3
237,Monthly,MidMarket,1980.64,21
238,Monthly,MidMarket,3912.17,57
239,Quarterly,SMB,1439.82,8
240,Monthly,SMB,3483.67,14
241,Annual,Enterprise,2245.04,58
242,Annual,SMB,2142.28,39
243,Annual,MidMarket,1554.76,16
244,Monthly,Enterprise,2418.05,18
245,Monthly,MidMarket,4856.27,31
246,Annual,MidMarket,2947.36,11
247,Monthly,MidMarket,3953.89,38
248,Annual,Enterprise,6304.94,20
249,Annual,SMB,3356.62,53
250,Half-Yearly,SMB,2318.19,46
251,Monthly,SMB,3678.51,53
252,Monthly,Enterprise,2333.37,45
253,Half-Yearly,MidMarket,2375.61,4
254,Monthly,SMB,1504.25,20
